review_index,score,content_preview,detected_problems,keywords_found,problem_count
0,1,"ini aplikasi apaan dah, kok aplikasi pemerintah jelek amat sih, ui/ux nya aneh, klik fitur kok rata ...","['Login_Authentication', 'Performance_Speed', 'Crashes_Errors', 'User_Interface', 'Features_Functionality', 'Installation_Update']","['masuk', 'loading', 'bug', 'ui', 'fitur', 'update']",6
1,1,niat mah mau bikin ak1 via online biar gak harus jauh pergi ke disnaker dan gak cape. tapi malah dib...,"['Login_Authentication', 'Crashes_Errors']","['akun', 'bug']",2
2,1,"tolong dong ini aplikasi dari pemerintah milik negara, banyak minus/bug yang harus diperbaiki. 1. ko...","['Performance_Speed', 'Crashes_Errors']","['loading', 'lag', 'bug']",2
3,1,"pada bagian keahlian, tanda cancel (x) ngga bisa muncul kalau memasukkan keahlian. jadi tanda cancel...",['Login_Authentication'],['masuk'],1
4,1,pas saya masuk sudah aneh...tidak merespon dengan baik...pas dimasukin email-nya udh di isi tinggal ...,"['Login_Authentication', 'Performance_Speed', 'Crashes_Errors', 'Features_Functionality']","['masuk', 'lag', 'tidak merespon', 'ga ada']",4
5,1,"apk ini sebenarnya bagus, tapi ketika di klik karirhub malah di alihkan ke chrome, mending buka di c...","['Performance_Speed', 'Crashes_Errors', 'Installation_Update']","['lag', 'bug', 'download']",3
6,1,"sudah bagus ada niat buat apk pembantu pekerja spt ini, tapi di hp saya gk jelas setiap mau klik pro...",['Other_Issues'],[],1
7,1,"30 menit nunggu kode otp, gak masuk-masuk. padahal sudah ada keterangan ""kode otp atau aktivasi berh...","['Login_Authentication', 'Performance_Speed', 'Features_Functionality', 'Notification_Alerts']","['masuk', 'akun', 'lag', 'tidak ada', 'notifikasi']",4
8,1,"maaf tapi aplikasi ini sangat tidak layak pakai, bug nya parah bgt, saya butuh kode otp untuk daftar...","['Login_Authentication', 'Crashes_Errors']","['login', 'akun', 'bug']",2
9,1,"mohon maaf, saya mau daftar akun karna memang belum pernah sama sekali menggunakan apk ini, tapi ket...",['Login_Authentication'],['akun'],1
10,1,"masih belum lengkap untuk daerah, seperti majalengka, jawabarat. disarankan jika belum siap diluncur...",['Login_Authentication'],['masuk'],1
11,1,"aduh padahal mudah aja cara daftarnya, tapi ribet gara² bug kode otp tidak muncul, padahal pas mau g...","['Login_Authentication', 'Crashes_Errors']","['akun', 'bug']",2
12,1,sudah download aplikasi masih tetap kembali ke browssr chrome lalu gunanya apa saya download. klo ma...,"['Login_Authentication', 'Performance_Speed', 'Features_Functionality', 'Data_Sync', 'Installation_Update']","['masuk', 'loading', 'lag', 'hilang', 'data', 'download']",5
13,1,"aplikasi masih sering kembali ke chrome, pas mau pilih pelatihan malah error dan kembali ke menu uta...","['Performance_Speed', 'Crashes_Errors', 'Network_Connection', 'User_Interface']","['lag', 'error', 'internet', 'sinyal', 'menu']",4
14,1,"semenjak mengurus surat pencari kerja menggunakan aplikasi, sangat sulit, masa kode otp aja ga masuk...","['Login_Authentication', 'Crashes_Errors']","['masuk', 'bug']",2
15,1,"aplikasi paling jelek yang pernah ada, gatau ini sebenarnya pemerintah niat ga sih ngasih pelatihan....",['Other_Issues'],[],1
16,1,- saran saya buat aplikasi ini kalo bisa mencari lowongan kerja sesuaikan dengan kota yang saya cari...,"['Login_Authentication', 'Performance_Speed', 'User_Interface']","['login', 'lambat', 'loading', 'menu']",3
17,1,"sangat mempersulit sekali,ngelag nya lama.udah tau sering ngelag bukannya diperbaiki,kesel banget ud...",['Performance_Speed'],"['lag', 'ngelag', 'stuck']",1
18,1,"apk yang masih sangat mentah, blom layak untuk di pergunakan karena masih terdapat apk (web) didalam...",['Other_Issues'],[],1
19,1,"tujuannnya apa sih bikin aplikasi yang ga jelas kayak gini? tolong untuk ui/ux diperbaiki lagi, help...","['Performance_Speed', 'User_Interface', 'Customer_Service']","['lag', 'tampilan', 'ui', 'help']",3
20,1,"apk versi terupdate mne min.? kok ngebug, ngelag stuck terus disitu. sya kira krna blm diperbaharui....","['Performance_Speed', 'Crashes_Errors', 'User_Interface', 'Installation_Update']","['lag', 'ngelag', 'stuck', 'bug', 'ui', 'update']",4
21,1,aplikasi yang tidak dapat diandalkan 1. pencarian lowongan kerja tidak pernah sesuai dengan kunci pe...,['Network_Connection'],['jaringan'],1
22,1,"tadinya sempet ragu instal dan daftar karna liat komen pada ngasih penilaian rendah, ternyata benar,...","['Login_Authentication', 'Installation_Update']","['masuk', 'download']",2
23,1,baru mau masuk kesini no ktp saya sudah ada yang masuk aneh bin ajaib jadi gagal total mau masuk gim...,"['Login_Authentication', 'Crashes_Errors']","['login', 'masuk', 'akun', 'gagal']",2
24,1,aplikasi pemerintah seperti sampah. mempersulit warga untuk mencari kerja. padahal aplikasi ini belu...,['Login_Authentication'],['masuk'],1
25,1,"aplikasi sampah. nik belum pernah di dafrar, malah setiap kali mau membuat akun selalu tdk bisa, ala...","['Login_Authentication', 'User_Interface']","['akun', 'menu']",2
26,1,"aplikasi g jelas banyak error lupa password ga bisa diubah, kode otp g muncul², sekalinya muncul kad...","['Login_Authentication', 'Crashes_Errors']","['password', 'lupa password', 'error']",2
27,1,"ga ngerti deh, udah download tapi waktu mau cari lowongan malah diarahin ke web mana ngeload doang w...","['Performance_Speed', 'Installation_Update']","['lag', 'download']",2
28,1,"aplikasi sangat buruk ,kode otp sampai saat in tdk masuk ,katanya mempermudah pdhal malah mempersuli...",['Login_Authentication'],['masuk'],1
29,1,saya tidak mengerti dengan aplikasi ini. buat apa bikin aplikasi kalau ujung-ujungnya di lempar lagi...,['Performance_Speed'],"['loading', 'lag', 'macet']",1
30,1,tidak pernah ada pemberitahuan maintenance untuk aplikasi aplikasi banyak sekali bug ny saya kesulit...,"['Crashes_Errors', 'Notification_Alerts']","['bug', 'pemberitahuan']",2
31,1,"apk rusak, hadehh gini amat, pemerintahan kacau, bikin apk berantakan trus yg mau diunggulin apa cob...",['Crashes_Errors'],['rusak'],1
32,1,ini tolong dong ko mau mencari loading terus yaa padahal pke wifi terus juga sama data masi banyak k...,"['Performance_Speed', 'Data_Sync']","['loading', 'data']",2
33,1,saya beri bintang satu karena menurut saya aplikasi ini tidak siap untuk digunakan. kendala otp yang...,"['Login_Authentication', 'User_Interface', 'Features_Functionality']","['masuk', 'password', 'akun', 'menu', 'tidak ada']",3
34,1,"bukannya mempermudah, malah mempersulit klaim jkp. sering banget eror, kayak pengisian password dan ...","['Login_Authentication', 'Performance_Speed', 'Crashes_Errors', 'Network_Connection', 'Data_Sync']","['password', 'lag', 'gagal', 'sinyal', 'data']",5
35,1,"percuma, kurang ada manfaat. saran saya buat satu app dimana perusahaan apa lagi pt wajib input info...",['Performance_Speed'],['lag'],1
36,1,"mohon maaf sebelumnya telah memberikan bintang 1,dimohon untuk aplikasinya di perbaiki ya kak, kebia...","['Performance_Speed', 'Network_Connection', 'Features_Functionality']","['lag', 'jaringan', 'fitur']",3
37,1,"kebanyakan bug, tidak ramah bagi lulusan smk/sma/sederajat. cara menggunakan aplikasinyapun masih bi...","['Performance_Speed', 'Crashes_Errors', 'Features_Functionality']","['lag', 'bug', 'fungsi']",3
38,1,"email telah terdaftar, tapi nyatanya ga bisa masuk dan ga pernah daftar,aneh,selevel aplikasi negara...","['Login_Authentication', 'Crashes_Errors']","['masuk', 'ga bisa masuk', 'bug']",2
39,1,"apaan sih anjir bug mulu, niat mempermudah malah mempersulit, tolong dong kendalanya di benerin gitu...","['Performance_Speed', 'Crashes_Errors', 'Features_Functionality', 'Customer_Service']","['lag', 'bug', 'gak ada', 'komplain']",4
40,1,udah daftar...pas mau login ke aplikasinya email salah ... nik salah... pengen daftarin ulang juga g...,['Login_Authentication'],"['login', 'password']",1
41,1,kenapa di bagian nomor 9 begitu mengisi form pencari kerja sudah pilih pekerjaan yang di ingin kan m...,['User_Interface'],['ui'],1
42,1,pas nyari lowongan di karirhub nya di arahin ke web dn ga muncul2 itu lowongan nya ngblank putih pro...,['Other_Issues'],[],1
43,1,"aplikasi ini pas mau masuk kenapa eror mulu sih? berkali-kali dicoba untuk login tetap aja gk bisa, ...",['Login_Authentication'],"['login', 'masuk']",1
44,1,"gajelas aplikasi negara banyak bug nya, cuma daftar akun aja masuknya kaga bisa bisa apa yang mau di...","['Login_Authentication', 'Crashes_Errors']","['masuk', 'akun', 'bug']",2
45,1,"saya baru isi data mau daftar pas mau dikasi kode otp lama betul ga ada muncul notif samsek, sekali ...","['Login_Authentication', 'Features_Functionality', 'Data_Sync']","['login', 'ga ada', 'data']",3
46,1,"tolong diperbaiki lagi, aneh banget suka tiba tiba keluar dari akun giliran mau login lagi malah bug...","['Login_Authentication', 'Performance_Speed', 'Crashes_Errors']","['login', 'akun', 'lag', 'bug']",3
47,1,jika sudah ada aplikasi ini sendiri kenapa saat klik karirhub malah diarahkan ke chrome? lalu aplika...,"['Login_Authentication', 'Features_Functionality']","['akun', 'fungsi']",2
48,1,aduhh dipersulit banget ini aplikasi kenapa dah gua ada kuota penyimpanan masih ada banyak gua mau b...,['Login_Authentication'],['akun'],1
49,1,"eror gabisa masuk aplikasi, lewat google juga gabisa, lewat email juga gabisa, maunya gimana, mau ak...",['Login_Authentication'],"['login', 'masuk']",1
