score,user,message,date
2,Sarah Mawadah,"aplikasinya emang sering bug ya? padahal udah bikin akun tapi tiba tiba hilang, waktu masuk ke apk nya malah lemot banget tapi wifi sama data lancar lancar aja, giliran masuk ke apk ini malah lemot nya kebangetan malahan sampe layar item nya lama, gatau lagi deh takutnya waktu lagi butuhin banget pake apk ini tiba tiba gabisa dibuka",2025-05-14 06:38:01
2,Santoso santoso,"Ini Negri yang ga mau Introspeksi . Sekelas Aplikasi untuk satu Negri saja seperti ini banyak masalah tidak berbenah, itu pun ga semua orang Indonesia pakai . Terlalu rumit persyaratan nya , sebagian susah untuk Claim , Padahal Pembayaran selama bekerja sudah pasti . Saya sendiri Claim sekali ok , bulan ke 2 ga bisa karna tidak ada Lowongan kerja yang ditampilkan untuk dilamar selesaikan tantangan . Alhasil hanya dapat 1 kali saja .. Kecewa.",2025-02-25 22:30:09
2,Wulan Yulia Ferawati,"Tolong min, diperbaharui lg apknya ini knapa makin ksini makin lemot aja, mau klaim tp g bsa krn misi g bsa dikerjakan trs. Tolong min, yg nganggur udh pusing jngn tmbh2in lg bikin pusing. Masa tim IT pemerintahan bikin apk sering loading/ error gini😩",2025-06-05 16:23:37
2,Tirtasari Devi,"Kenapa kalau mengklik pelatihan selalu diarahkan ke browser/chrome? Saya kira semua fitur bisa diakses di aplikasinya, tapi ini selalu diarahkan untuk membukanya di browser/chrome. Kalau seperti ini, sama aja dengan memakai website siap kerja, gak perlu install aplikasinya. Mohon ditingkatkan lagi ya 🙏",2023-06-28 19:09:39
2,Octavianus N. A. S,"Ada masalah saat pemberian kode otp tidak lekas muncul dan perlu menunggu 20 menit untuk mengirim lagi, namun setelah menunggu dan mengisi kembali, justru kode otp telah kadaluarsa, dari kemarin hingga saat ini saya masih belum bisa login sama sekali",2025-07-24 03:58:39
2,Tatan Sukmawansyah,sebenarnya apk sangat bagus . untuk cari lowongan kerja cuma bug nya minta ampun susah kalo muat cari lowongan kerja searching nya lama gak muncul muncul untuk sekitaran area dan masukin pdf suka ketukar,2025-07-03 07:31:38
2,Kyy Pratama,"banyak banget bug nya, gatau lagi mau ngomong apa, karena sudah banyak yang ngasih rating jelek di apk ini. sekelas aplikasi yang langsung dari pemerintah kaya gini? banyak masukan tapi keliatannya banyak yang tidak di tanggapi, jadi bertanya-tanya ""apakah kalian bekerja atau tidak""?",2025-04-29 03:42:57
2,Prasetia15,1- yang sangat fatal loading lama udh ganti ganti jaringan tetep sama dan kaya gak guna ini apk kalo setiap program harus ke chrome sekali aja di web in jgn pake apk,2025-06-04 04:42:35
2,Desi Alsyfa,"Dimohon banget kepada admin untuk baca ulasan ini, saya pernah melamar kerja lewat apk ini tapi malah penipuan (?) saya di arahkan ke website untuk bikin akun setelah itu dimintai TF namun untungnya saya sadar jadi tidak terkena penipuan ini, tapi saya takut ada korban lain nyaa😢 mohon banget yaa min tingkatin KEAMANAN nyaa. sebenernya masih banyak keluhan lain tentang apk ini, mulai dari yang suka logout sendiri, gak bisa edit profil bagian pengalaman dan lainnya.",2025-01-25 13:55:18
2,Iboezz Zindhess,"Pilihan alamat domisili ga lengkap.. untuk bekasi kota itu ga ada, sama pilihan kecamatan Rawalumbu juga ga ada.. status akunku masih belom terverifikasi mulu...padahal sdh dapat kode OTPnya...ngacau ini aplikasi..",2023-05-12 11:46:49
2,sekigan no fukuro,"Belum bisa search lokasi pencari kerja secara real-time, ketika lokasi diubah maka lowongan yang ditampilkan tetap seperti awal, tidak sesuai dengan lokasi yang difilterkan",2024-10-23 06:38:27
2,Fahri Yain,Kenapa si tiap buka buka dalem aplikasinya malah ddi redirect ke browser bukan nya stay di aplikasi. Ukuran2 ikon dsb juga kok besar kecilnya ga nyesuain layar HP.,2024-05-18 05:53:22
