score,user,message,date,thumbs_up,reply_content
5,Herman Ramli,"Aplikasinya bagus cocok untuk yg mencari pekerjaan & sangat membantu terutama claim manfaat tunai, tolong update Aktivitas pelatihan di setiap provinsi. Tks",2025-05-15 17:56:38,10,
5,lili mardiana,"Aplikasi SIAPkerja membantu banget untuk aku yang belum punya kerjaan. Banyak lowongan pekerjaan yang bisa dipilih sesuai kemampuan kita, selain itu ada program pelatihan juga untuk mengasah kemampuan sembari kita mencari pekerjaan.",2023-01-17 04:49:25,69,
5,Jennifer Jocelyn,"Aplikasi ini cukup bagus dan sangat membantu, dikarenakan dalam aplikasinya terdapat fitur pelatihan kerja dengan segala bidang, serta adanya informasi yang lengkap mengenai lowongan pekerjaan. Semoga kedepannya SIAPkerja dapat menyediakan fitur-fitur yang lebih canggih lagi untuk mempermudah masyarakat.",2023-01-20 08:29:35,20,
5,Valentina Simanjuntak,"Aplikasi ini sangat membantu saya dalam mencari info lowongan kerja yang tersedia. Aplikasinya juga mudah digunakan dan ga ribet.. selain itu juga ada banyak pilihan pelatihan untuk meningkatkan kemampuan kita dalam dunia kerja, terimakasih aplikasi SIAPkerja.",2023-01-21 09:55:15,19,
5,Ahmad Ali,"aplikasi ini sangat membantu seorang freshgraduate seperti saya, selain lowongan pekerjaan yang bisa di apply, aplikasi ini menyediakan fitur pelatihan kerja, semoga aplikasi ini bisa berkembang lebih baik lagi dan bisa membantu orang lebih banyak lagi",2023-01-20 08:24:06,1,
5,Syachbillah Wayan,"Aplikasi yg sangat menarik dan bermanfaat, fitur² yg disajikan membantu untuk mencari informasi seputar pekerjaan selain itu dapat membantu untuk meningkatkan skill dengan adanya pelatihan² agar siap bersaing di dunia kerja.",2023-01-22 11:16:00,0,
5,Ramli Luqky,Aplikasinya sangat membantu dan sangat mudah dipahami. Banyak fitur fitur yang bisa dimanfaatkan dan diambil ilmu nyaa. Thanks SIAPkerja sudah menjadi aplikasi yang sangat berguna dan bermanfaat,2023-01-08 09:36:12,0,
5,Muhajrin. T,"Aplikasinya cukup bagus. Aplikasi menyediakan layanan yang terbagi menjadi layanan utama, umum, perusahaan, dan mitra pelatihan. Tersedia informasi pelatihan kerja, lowongan kerja, magang, dsb. Aplikasi ini akan lebih baik jika terus diupgrade grafis dan dibersihkan bugnya.",2022-12-25 13:02:29,9,
5,Zyahwa Aprilia,"Aplikasi SIAPkerja sangat membantu, tidak hanya membantu orang yang sedang mencari kerja ataupun fresh graduate tapi juga kepada mahasiswa yang ingin mengikuti pelatihan kerja. Ada info lowongan pekerjaan, magang, dsb. Terima kasih SIAPkerja.",2023-01-19 12:01:23,3,
5,Ervinda Ervu,Aplikasi ini sangat membantu dalam memudahkan mencari lowongan pekerjaan dengan dilengkapi fitur-fitur yang mudah diakses dan berisi informasi yg dibutuhkan oleh pencari kerja sehingga menjadikan aplikasi ini sangat keren dan favorit tentunya.,2023-01-23 10:52:24,0,
5,Alice,"UI/UX nya menarik dan fungsional, ada pelatihan juga, banyak lowongan pekerjaan yang memudahkan saya untuk mencari pekerjaan. Recommended banget buat freshgraduate dan pejuang loker.",2023-01-15 13:41:46,6,
5,Siti Jumiati,"Aplikasi ini friendly user dan fitur nya bagus banget ada banyak pelatihan kerja, dan lowongan magang maupun kerja. Terima kasih aplikasi SIAPkerja sudah membantu kita untuk siap kerja dan mencari pekerjaan",2023-01-11 07:41:49,1,
5,Wawan Sutiaa,"terimakasih atas aplikasinya,,tapi saya bukan untuk cari kerja,tapi untuk memberikan dan mengajarkan teknik,meningkatkan. hasil padi yg memuaskan itu,untuk seluruh rakyat petani padi,,agar ada perubahan yg cepat dan dapat membantu perekonomian yg lebih baik,,",2024-10-19 02:47:42,28,
5,Kholil Ismail,"Aplikasi SIAPkerja sangat bagus dan rekomendasi, membantu untuk yang belum mempunyai pekerjaan. Dengan adanya aplikasi ini dapat melihat peluang-peluang serta informasi mengenai lowongan pekerjaan yang dibutuhkan.",2023-01-21 07:31:58,0,
5,Yondu Evo,Sangat membantu sekali karena memberi info pelatihan.. Kepada pengguna agar lebih siap dan matang dalam bidang pekerjaan yg diinginkan.. Semoga kedepannya bisa lebih baik dan berkembang aplikasinya.. Trimakasih SIAPkerja.. ☺☺,2023-01-06 07:25:03,9,
5,Prama Ajidin,"Tidak seperti aplikasi lainya, pada aplikasi ini memiliki fitur fitur yang menjadi keunggulan sendiri. Dengan begitu saya bisa mendapatkan informasi secara cepat dan tepat terkait lowongan kerja yang kami inginkanm",2023-01-18 08:19:05,0,
5,Aniyah Johnston,"aplikasinya sangat membantu untuk mencari lowongan pekerjaan,banyak juga informasi-informasi pekerjaan yang ada sesuai dengan bidang yang kita kuasai.semoga bisa tambah terus berkembang dan bisa membantu untuk semuanya 🤗🤗",2023-01-15 13:06:49,0,
5,Dita Pratiwi,"Aplikasi ini bantu aku banget buat tau info lowongan pekerjaan, jadi memudahkan banget kalau mau nyari Informasi tentang magang, lowongan, magang, dll. Tampilan aplikasi nya juga baguss, Terima kasih SIAPkerja!",2023-01-08 09:03:14,0,
5,Ais Aisyun,"Bintang 5 buat SIAPkerja by Kemnaker, fitur nya banyak bgt, buat fresh graduate bisa bgt mau persiapan skill dgn pelatihan2 yg disediakan atau mau langsung apply pekerjaan sesuai bidang juga tersedia. Mantap!",2023-01-11 10:38:09,0,
5,Nur Fajriah Shulhusiah,Rekomendasi buat para pencaker. Karena aplikasinya memudahkan sekali untuk mencari pekerjaan. Fitur aplikasinya sangat mudah dipahami dan lengkap. Terima kasih SIAPkerja~,2023-01-11 11:27:44,0,
5,Sri Indriyani,Terima kasih siap kerja. Berkat aplikasi ini aku bisa mencari lowongan pekerjaan sesuai dengan basic aku. Rekomendasi banget untuk teman-teman yang masih bingung mencari lowongan pekerjaan. Aplikasi siap kerja akan membantu kalian memudahkan proses pencarian loker. Perfect banget deh,2023-01-17 05:04:26,0,
5,Najmul Akhir,"Aplikasinya keren. Sangat membantu dalam mencari lowongan kerja, fitur yang tersedia lengkap, overall sangat memuaskan. Wajib diunduh aplikasi ini ya teman teman...",2023-01-22 18:01:07,1,
