term,tfidf_score
apk,0.07037493025786654
buka,0.06429932166195397
kerja,0.0518272260175109
nya,0.049744772464223826
bikin,0.03765603327979303
perintah,0.03492143327082477
sulit,0.0344363755805901
jelas,0.03298436577477281
mau,0.03268122205868679
sampah,0.03247823384927791
susah,0.03019433816967818
sama,0.028948374605898494
eror,0.028771694134665595
banyak,0.022876250000627388
bantu,0.022609937652804443
niat,0.022310992984032822
dulu,0.020707537145458654
gajelas,0.02002122499585625
klaim,0.018074605025010848
kurang,0.016765986223764597
malah,0.016471994803510626
siap,0.016419361630742653
latih,0.01568200270270744
doang,0.015619789204129176
jkp,0.015481563370101765
bener,0.015192292640432465
aneh,0.014377922488199498
kalau,0.014223367982649183
bintang,0.013869098301200408
tdk,0.01384792776528712
website,0.013741913874331093
semua,0.013696384938875138
muncul,0.013478270096149839
web,0.013434504408358564
perlu,0.01321024681560029
ikut,0.012926576146285777
isi,0.01288878136692167
klik,0.012758587022834146
program,0.012663071159507523
kecewa,0.012662884794276371
apknya,0.012439573308341258
nama,0.012184077570739573
cuma,0.012133732542854379
selalu,0.010750148435946669
gin,0.0104829001096381
kaya,0.01017311603905481
selesai,0.008618092651570963
tipu,0.00854552769917503
ikut latih,0.008138593146635073
kelas,0.007726994290404214
